"","stock.id","species","stock.name","lat","lon","ocean.basin","state","begin","end","n.years","max.spawners","max.recruits","source","url","comments"
"106",105,"Pink","N SEAK Outside-Pink","57.17694","135.7869","WC","AK",1960,2008,49,6271490,11292515,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK; Piston, A. W. and S. C. Heinl. 2011. Pink salmon stock status and escapement goals in Southeast Alaska. Alaska Department of Fish and Game, Special Publication No. 11-18",NA,"Districts 109-112, 114, 115"
"107",106,"Pink","N SEAK Inside-Pink","57.57528","134.7503","WC","AK",1960,2008,49,25094123,61411893,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK; Piston, A. W. and S. C. Heinl. 2011. Pink salmon stock status and escapement goals in Southeast Alaska. Alaska Department of Fish and Game, Special Publication No. 11-18",NA,"District 113"
"108",107,"Pink","Situk-Pink","59.43353","139.5467","WC","AK",1962,1990,25,525000,553506,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK; Clark, J. H. 1995. Biological escapement goals for even and odd-year pink salmon returning to the Situk River and to Humpy Creek near Yakutat Alaska. Alaska Department of Fish and Game, Regional Information Re- port No. 1J95-08 ",NA,""
"109",108,"Pink","Humpy-Pink","59.6444","139.5844","WC","AK",1962,1992,22,225000,304130,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK; Clark, J. H. 1995. Biological escapement goals for even and odd-year pink salmon returning to the Situk River and to Humpy Creek near Yakutat Alaska. Alaska Department of Fish and Game, Regional Information Re- port No. 1J95-08 ",NA,""
"110",109,"Pink","PWS-Pink","60.5","147","GOA","AK",1960,2009,50,13578314,27866302,"Steve Moffitt, Alaska Department of Fish and Game (ADFG), Cordova, AK",NA,""
"111",110,"Pink","S CIn-Pink","59.52528","151.48","GOA","AK",1976,2009,34,243700,661500,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK",NA,"Sum of Humpy Creek, Seldovia Bay"
"112",111,"Pink","Outer CIn-Pink","59.38389","150.7528","GOA","AK",1976,2009,34,789129,2223900,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK",NA,"Sum of Port Chatham, Port Dick, Rocky River, Windy Creek, South Nuka"
"113",112,"Pink","Kamishak-Pink","59.27","154.1175","GOA","AK",1976,2009,34,1719239,2162998,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK",NA,"Sum of Bruin River, Sunday Creek, Brown's Peak Creek"
"114",113,"Pink","Afognak-Pink","58.26222","152.5883","GOA","AK",1978,2009,32,1886046,4921462,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,""
"115",114,"Pink","W Kod-Pink","57.11389","154.4947","GOA","AK",1978,2009,32,9880208,23621882,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,""
"116",115,"Pink","Alitak-Pink","56.88528","154.1217","GOA","AK",1978,2009,32,7592000,14652000,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,""
"117",116,"Pink","E Kod-Pink","57.089858","153.187928","GOA","AK",1978,2009,32,5426000,13951000,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,""
"118",117,"Pink","Mainland Kod-Pink","58.03333","154.6644","GOA","AK",1978,2009,32,7954000,7954000,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,""
"119",118,"Pink","Chignik Bay-Pink","56.38528","158.2261","GOA","AK",1962,2009,43,180500,313600,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,""
"120",119,"Pink","Central Chig-Pink","56.59639","157.9933","GOA","AK",1962,2009,48,715500,1198175,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,""
"121",120,"Pink","E Chig-Pink","56.98528","156.5806","GOA","AK",1962,2009,48,1470200,2011766,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,""
"122",121,"Pink","W Chig-Pink","56.06667","158.6756","GOA","AK",1962,2009,48,554700,1373782,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,""
"123",122,"Pink","Perryville-Pink","55.85417","159.3314","GOA","AK",1962,2009,48,582100,1480800,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,""
"124",123,"Pink","SE-SC AKPen-Pink","55.5","161","BS","AK",1962,2009,48,5969710,15767364,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,"Sum of Southeastern and Southcentral Districts"
"125",124,"Pink","SW-Unimak-Pink","54.5","163.5","BS","AK",1962,2009,48,2341700,6762894,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,"Sum of Southwestern and Unimak Districts"
"126",125,"Pink","NW AKPen-Pink","54.982","163.37","BS","AK",1962,2009,47,216600,558182,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,""
"127",126,"Pink","Nushagak-Pink","58.62222","158.5911","BS","AK",1958,2002,23,9161784,13510120,NA,NA,""
"128",127,"Pink","Unalakleet-Pink","63.86944","160.7878","BS","AK",1970,2009,28,458387,637424,"Jenefer Bell, Alaska Department of Fish and Game (ADFG), Nome, AK; Menard, J., J. Soong, and S. Kent. 2011. 2009 Annual Management Report Norton Sound, Port Clarence, and Kotzebue. Technical report, Fishery Management Report No. 11-46, Alaska Department of Fish and Game",NA,""
"129",128,"Pink","Nome-Pink","64.4828","165.305","BS","AK",1971,2009,39,2212155,2229337,"Jenefer Bell, Alaska Department of Fish and Game (ADFG), Nome, AK; Menard, J., J. Soong, and S. Kent. 2011. 2009 Annual Management Report Norton Sound, Port Clarence, and Kotzebue. Technical report, Fishery Management Report No. 11-46, Alaska Department of Fish and Game",NA,""
