"","species","stock","log_a_med","log_a_LCI","log_a_UCI","gamma_med","gamma_LCI","gamma_UCI","w_med","w_LCI","w_UCI","min_ESS","min_Rhat"
"25%...108","Chum","Kamishak-Chum",1.17079374447766,0.86047403266353,1.47306147815446,0.5,0.343184970543263,0.656815029456737,-0.0251416733375656,-0.627934586051684,0.587897666944924,1.01948857873889,Inf
"25%...109","Chum","Outer CIn-Chum",0.923918648681975,0.565741504917915,1.28401464718396,0.5,0.356965511791005,0.643034488208996,0.00125166305543142,-0.629549556893689,0.645625228188466,1.00712012094553,Inf
"25%...110","Chum","S CIn-Chum",2.00634432910882,1.73676429878989,2.33311564839868,0.5,0.339272683369354,0.660727316630646,0.00199421411665393,-0.684574732374802,0.687471025830795,1.01754066157626,Inf
"25%...111","Chum","Upper CIn-Chum",1.36631489934963,1.04941945770699,1.66587424453285,0.5,0.376513394902046,0.623486605097954,-0.0483340999947054,-0.673981647869338,0.595899915804468,1.00658888111838,Inf
"25%...112","Chum","Alitak-Chum",1.77667178302811,1.57679062236593,2.05645144546147,0.5,0.378262698765485,0.621737301234515,0.0224036606637379,-0.687680475258994,0.691595103297944,1.01197832469687,Inf
"25%...113","Chum","E Kod-Chum",1.90507139969348,1.63785039299073,2.15802612527571,0.5,0.377158843985368,0.622841156014632,-0.0521774247185875,-0.629815505898278,0.572863752427898,1.01141904221586,Inf
"25%...114","Chum","SW Kod-Chum",1.6984838845235,1.36789580431042,2.03863281704447,0.5,0.411914647686202,0.588085352313798,-0.000181570069885319,-0.664406112799718,0.649652508157965,1.003762760787,Inf
"25%...115","Chum","NE Kod-Chum",1.52753747488843,1.24215419602333,1.88889336803946,0.5,0.378872187099573,0.621127812900427,-0.0556815012966606,-0.743409778556482,0.664422738931479,1.0044888006397,Inf
"25%...116","Chum","NW Kod-Chum",2.12884719555659,1.92897261252929,2.30902125375764,0.5,0.344101778604174,0.655898221395826,-0.0245149700828231,-0.624002681147951,0.589790708684378,1.0202631675431,Inf
"25%...117","Chum","Mainland Kod-Chum",1.3831073122588,1.1509056398889,1.6286708692375,0.5,0.411633822076704,0.588366177923296,0.019313413761629,-0.642454411502775,0.644082947160758,1.00884274175363,Inf
"25%...118","Chum","Perryville-Chum",1.09779469594238,0.801815919605242,1.38589249324382,0.5,0.408396295862168,0.591603704137832,-0.0174825484062445,-0.619383557606388,0.617062154045958,1.00586819155135,Inf
"25%...119","Chum","W Chig-Chum",1.78772218801645,1.50258727505947,2.05848412413768,0.5,0.442877767196771,0.557122232803229,0.0126993170382776,-0.603974544902202,0.607534577746833,1.01041549638388,Inf
"25%...120","Chum","Central Chig-Chum",1.07627966493412,0.787829584391416,1.43220077517416,0.5,0.393515210281391,0.606484789718609,-0.0285952967475476,-0.653631145556964,0.617997164885265,1.01020739162184,Inf
"25%...121","Chum","E Chig-Chum",1.17460458065808,0.824886141872646,1.49770474685716,0.5,0.400068267664722,0.599931732335278,-0.0195295836331252,-0.785440663395092,0.809541884861747,1.01432550197368,Inf
"25%...122","Chum","SW-Unimak-Chum",1.25871968600665,1.01615076684763,1.48713306305655,0.5,0.436366549532011,0.563633450467989,0.0256127826801442,-0.630780412940074,0.64516203714855,1.0077694450882,Inf
"25%...123","Chum","W-NW AKPen-Chum",0.976229168496002,0.650320232135152,1.29068409955649,0.5,0.3328569022176,0.6671430977824,-0.00774901682177058,-0.63301317128641,0.597335972906263,1.00532565943908,Inf
"25%...124","Chum","E-NW AKPen-Chum",0.885256728907235,0.702725327371077,1.1036012996908,0.5,0.412075838367022,0.587924161632978,-0.00360705921983579,-0.679943335312404,0.688887201123196,1.01087283786259,Inf
"25%...125","Chum","SE-SC AKPen-Chum",1.40254295853482,1.23078635554678,1.60227220799069,0.5,0.390855883601695,0.609144116398304,-0.0252673201392727,-0.657176725194077,0.636731056383228,1.01354232084067,Inf
"25%...126","Chum","N AKPen-Chum",1.15439825505952,0.953456806996921,1.36154517680214,0.5,0.432775728843602,0.567224271156398,0.0131057423321237,-0.634718434396733,0.64321188613904,1.00547375417165,Inf
